locationId,latitude,longitude,zip_code,health_score
01400003,39.275049,-84.364905,45242,97.6
01400007,39.275009,-84.364599,45242,83.4
01400009,39.275049,-84.364905,45242,100.0
01400020,39.275049,-84.364905,45242,100.0
01400021,39.275049,-84.364905,45242,100.0
01400022,39.275049,-84.364905,45242,100.0
01400023,39.275157,-84.364863,45242,100.0
01400045,39.239041,-84.349938,45242,100.0
01400053,39.288625,-84.301223,45249,100.0
01400082,39.270599,-84.375178,45241,79.8
01400335,39.479172,-84.421109,45044,83.2
01400336,39.442454,-84.378098,45050,83.5
01400344,39.2315792,-84.1646591,45122,82.5
01400351,39.2381848,-84.3506946,45242,80.3
01400353,39.2715609,-84.3259895,45249,80.2
01400355,39.144662,-84.429584,45209,80.1
01400359,39.0992898,-84.48185,41073,79.8
01400361,39.0848434,-84.8778069,47025,82.7
01400364,38.9579368,-84.6246617,41042,80.1
01400367,38.856209,-84.616966,41094,80.5
01400370,39.1896065,-84.5987839,45239,81.5
01400376,39.3110881,-84.2751167,45039,80.8
01400380,39.2247213,-83.6192748,45133,82.6
01400381,39.072869,-84.50848,41011,81.5
01400383,39.377251,-84.3761418,45044,80.7
01400384,39.2203019,-84.5192304,45231,81.4
01400390,39.2245422,-84.5478434,45231,81.7
01400392,39.0415197,-84.5091933,41015,81.5
01400395,39.301354,-83.9609353,45107,82.9
01400402,39.188105,-84.361497,45243,80.4
01400405,39.2102762,-84.4753884,45216,83.5
01400406,39.3123314,-85.2148866,47006,80.9
01400408,39.3505231,-84.2206847,45039,82.1
01400409,39.0644282,-84.7069317,41048,80.0
01400410,39.00629,-84.420587,41076,80.7
01400411,39.1761178,-84.2805863,45150,80.8
01400412,39.5069434,-84.7513025,45056,80.6
01400413,39.2612003,-84.2733961,45140,80.6
01400418,39.1587311,-84.4554364,45212,80.7
01400420,38.6266926,-83.7908912,41056,80.6
01400421,39.1416149,-84.3616532,45227,80.1
01400423,39.0902737,-84.4783988,41071,79.8
01400424,38.9672807,-84.6716831,41091,83.2
01400426,39.3607444,-84.2789322,45040,80.3
01400428,39.1644117,-84.5148034,45232,80.8
01400429,39.2965534,-84.3899154,45241,80.1
01400431,39.0741722,-84.3114587,45255,80.1
01400432,39.126708,-84.5973922,45238,80.7
01400433,39.2600763,-84.4712549,45215,81.1
01400434,39.0180491,-84.6924703,41005,81.7
01400435,39.229795,-84.253905,45140,80.3
01400438,39.093585,-84.3864713,45230,80.2
01400439,39.42243,-84.457242,45011,80.8
01400441,39.4949693,-84.3279195,45005,80.8
01400444,39.177059,-84.641219,45248,80.5
01400445,39.1721421,-84.7608396,45002,80.7
01400447,39.4542432,-84.1820957,45036,81.0
01400448,39.318099,-84.315689,45040,80.2
01400454,38.962402,-84.67646,41091,80.0
01400465,39.1601221,-84.4270873,45209,80.0
01400466,38.9969875,-84.6562035,41042,80.1
01400468,39.0359892,-84.2330384,45102,80.1
01400475,38.9286769,-84.5483376,41051,80.0
01400477,39.048838,-84.55298,41017,80.7
01400482,39.1093681,-84.5715512,45205,81.0
01400513,39.10682,-84.51253,45202,82.2
01400705,39.7460382,-84.1718428,45410,82.2
01400722,39.6023578,-84.2302926,45342,80.2
01400741,39.9660601,-83.7868154,45503,80.9
01400747,39.8993538,-84.1841067,45377,80.8
01400754,39.8173105,-84.1254526,45424,80.9
01400758,39.8668333,-84.1405085,45424,80.9
01400765,39.758016,-84.122147,45431,80.2
01400770,39.641824,-84.266305,45342,80.2
01400811,39.725551,-84.054141,45434,80.9
01400817,39.4464335,-83.8072486,45177,81.2
01400825,39.7045622,-84.1247755,45420,81.2
01400826,39.6881303,-84.1620238,45429,81.2
01400827,39.673009,-85.134549,47331,83.1
01400828,39.7641466,-84.6386664,45320,82.3
01400829,39.6896087,-83.9582351,45385,82.1
01400832,39.9371438,-83.8358305,45504,81.5
01400833,40.1268932,-84.62265,45331,81.5
01400835,39.9251422,-83.7654031,45503,80.9
01400836,39.7968669,-84.2458902,45406,83.3
01400838,39.786131,-83.995012,45324,80.2
01400901,39.0216162,-84.593735,41018,82.6
01400902,39.1030213,-84.2712059,45245,81.4
01400907,39.249293,-84.791679,45030,80.4
01400909,39.4260503,-84.5940142,45013,82.7
01400910,40.5543188,-84.3847332,45885,81.3
01400913,40.2898275,-84.186932,45365,80.9
01400915,39.074332,-84.347973,45255,80.1
01400920,39.0395591,-83.9241104,45154,80.6
01400921,39.193092,-84.23506,45150,82.4
01400923,39.6071088,-84.1634476,45458,80.6
01400925,39.560586,-84.256715,45066,80.2
01400929,39.128667,-84.509336,45219,80.1
01400932,40.1433803,-84.2649697,45356,82.0
01400934,39.3810118,-84.5474504,45011,80.9
01400935,39.6399957,-84.1080692,45459,82.0
01400938,39.8630238,-84.3139009,45322,80.2
01400939,39.336188,-84.562509,45014,81.0
01400942,39.2272828,-84.3978512,45236,79.8
01400943,39.2900055,-84.5250073,45240,81.3
01400944,39.0962602,-84.6127791,45238,80.7
01400945,39.351272,-84.363248,45069,81.8
01400946,39.0257363,-84.4535666,41076,80.7
01400948,39.1427165,-84.622713,45211,80.6
01400951,39.674512,-84.219693,45459,82.1
01400959,39.359131,-84.458158,45069,80.1
01400960,39.6623,-84.103832,45440,80.8
01400968,39.249048,-84.599709,45251,80.7
01400984,40.030933,-84.22115,45373,80.6
01400988,38.956015,-84.612124,41051,100.0
01400989,39.447709,-84.406479,45044,100.0
01400998,38.95667,-84.614324,41051,100.0
014LS994,39.275049,-84.364905,45242,100.0
01600036,41.345424,-83.104623,43420,100.0
01600128,40.08045,-82.429488,43055,80.2
01600232,39.9557,-82.822659,43068,82.8
01600251,39.6486784,-81.8562293,43756,82.0
01600264,39.729541,-82.615136,43130,81.7
01600273,40.1091901,-83.017746,43085,82.0
01600312,39.3342617,-83.0165373,45601,81.2
01600313,39.7215345,-82.2031385,43764,83.0
01600315,39.9582605,-82.945047,43205,81.9
01600327,41.0555673,-83.6067631,45840,81.7
01600328,40.0543055,-83.0725659,43220,80.1
01600341,39.8828425,-83.06863,43123,80.4
01600348,39.3543988,-82.9742619,45601,81.2
01600350,40.0978166,-83.1222563,43017,81.9
01600363,39.1330466,-82.9766677,45690,82.3
01600371,40.0868407,-80.733012,43935,76.5
01600388,39.8968442,-83.435432,43140,81.8
01600504,41.5823415,-83.8856995,43558,81.2
01600506,40.811345,-82.97313,44820,82.6
01600510,41.0220431,-83.6489533,45840,81.7
01600511,41.7046165,-83.5865451,43613,80.4
01600512,40.3670513,-80.6398458,43952,81.2
01600514,39.9083188,-82.8226026,43110,81.1
01600518,40.7609123,-82.5608998,44906,80.5
01600519,39.920118,-83.121384,43228,81.1
01600522,40.0118724,-82.8647038,43230,80.2
01600525,41.584247,-83.666962,43537,80.2
01600529,39.4517722,-82.2207556,45764,72.3
01600531,41.509023,-83.75036,43566,81.7
01600532,39.9058474,-82.7348924,43147,80.9
01600536,41.36442,-83.13311,43420,82.8
01600538,39.9067394,-82.7794258,43147,80.9
01600542,39.5462844,-82.4340922,43138,81.9
01600543,39.9568784,-82.7732768,43068,80.9
01600546,40.147049,-82.7076001,43031,80.1
01600548,41.5448493,-83.5981216,43551,81.4
01600549,40.241643,-83.395209,43040,81.4
01600557,40.7740746,-82.475837,44905,80.7
01600558,40.0115573,-80.7474904,43906,82.7
01600569,39.9496665,-83.0019303,43215,82.1
01600575,38.736087,-82.9955819,45662,81.9
01600581,40.1217877,-83.0926243,43016,80.3
01600587,39.9892939,-83.0052871,43201,83.7
01600590,39.0481938,-82.6300991,45640,81.0
01600591,40.006405,-82.664155,43062,80.5
01600593,40.05857,-82.973138,43229,81.2
01600594,41.1128263,-83.2084353,44883,81.2
01600598,39.9567701,-83.0968994,43228,81.5
01600617,41.7056319,-83.5006105,43611,80.5
01600621,39.9598096,-82.4759865,43025,80.7
01600623,39.9519139,-83.1563351,43119,81.6
01600641,41.5139574,-82.9023791,43452,81.2
01600664,38.7130139,-82.8580517,45694,81.9
01600800,40.5472654,-82.8465263,43338,81.6
01600801,39.717616,-82.577522,43130,100.0
01600802,40.2462815,-82.8686806,43074,81.0
01600804,40.312909,-83.110079,43015,81.1
01600805,40.2034124,-83.0264977,43035,80.1
01600806,39.9587281,-82.8756602,43213,82.0
01600808,40.5631302,-83.1173348,43302,80.7
01600810,41.7195775,-83.5634297,43612,80.4
01600812,40.0756431,-80.8727375,43950,80.8
01600815,39.8879952,-83.0017887,43207,81.0
01600817,40.103387,-83.16438,43016,80.9
01600818,40.0656864,-83.0734317,43235,80.2
01600819,40.06528,-83.02481,43214,80.6
01600820,40.4010188,-82.4588259,43050,81.7
01600822,39.5340291,-83.4459289,43160,81.5
01600824,40.1034728,-83.7200728,43078,81.5
01600831,39.4835771,-82.0798874,45782,83.9
01600832,40.3309865,-83.7603765,43311,80.9
01600836,40.7188147,-82.5492472,44907,80.5
01600839,40.1400189,-82.9902018,43240,80.6
01600842,39.841483,-83.0748545,43123,80.5
01600844,39.5979336,-82.9313762,43113,82.1
01600847,40.1496446,-82.9208478,43082,80.7
01600851,39.8557861,-82.8319261,43110,81.0
01600853,39.984384,-82.816476,43213,80.9
01600856,41.163322,-83.415531,44830,82.4
01600857,40.2645817,-83.0708511,43015,81.9
01600858,41.4327101,-82.6943467,44870,81.6
01600861,39.853071,-82.899249,43125,80.4
01600867,40.0025295,-83.1562341,43026,81.5
01600870,41.6625506,-83.6842845,43615,80.1
01600871,40.0542669,-82.8674889,43230,80.4
01600878,41.3912788,-83.6486711,43402,81.1
